description_norm,n_occurrences,n_years,first_year,last_year,sample_text,first_era
local rate fund,1,1,1876,1876,Local Rate Fund.,post_1840
lodge c redeemed,1,1,1814,1814,Lodge &c Redeemed,industrial_1760_1840
long witcnam,1,1,1708,1708,Long witcnam,pre_1760
long wittenham,1,1,1856,1856,Long Wittenham,post_1840
lord,1,1,1708,1708,Lord,pre_1760
louis richard farnell fellow,1,1,1882,1882,Louis Richard Farnell Fellow,post_1840
lovell,1,1,1873,1873,Lovell,post_1840
lymath,1,1,1859,1859,Lymath,post_1840
lymatth,1,1,1861,1861,Lymatth,post_1840
m r vincent 8 t m r treby 8 t m r davie 8 t,1,1,1701,1701,m^r Vincent 8^t m^r Treby 8^t m^r Davie 8^t ?,pre_1760
mam veltimam summam expositam fuissc,1,1,1716,1716,Mam: veltimam Summam expositam fuissc,pre_1760
mammond fellow,1,1,1868,1868,(Mammond) Fellow,post_1840
mapes,1,1,1882,1882,Mapes,post_1840
mapigord rulon,1,1,1882,1882,Mapigord Rulon,post_1840
march 15th 1900,1,1,1899,1899,March 15th 1900,post_1840
march 20,1,1,1762,1762,March 20.,industrial_1760_1840
march 2nd 1897,1,1,1896,1896,March 2nd 1897,post_1840
march 3 1899,1,1,1898,1898,March 3. 1899,post_1840
march 6th 1885,1,1,1884,1884,March 6th 1885.,post_1840
march 7,1,1,1882,1882,March 7,post_1840
march 8th 1901,1,1,1900,1900,March 8th 1901,post_1840
mard 1,1,1,1880,1880,Mard 1,post_1840
master compos local rate,1,1,1872,1872,Master Compos & Local Rate,post_1840
masters compos invested but not charged x 1866,1,1,1867,1867,Masters composⁿ invested but not charged x 1866,post_1840
masters composition 1st payt,1,1,1877,1877,Masters Composition 1st payt,post_1840
matr holr rector,1,1,1729,1729,Matr Holr Rector,pre_1760
matth hole rector,1,1,1718,1718,Matth: Hole Rector,pre_1760
matth holt r,1,1,1728,1728,Matth: Holt R^,pre_1760
matth holt rector,1,1,1727,1727,Matth: Holt Rector,pre_1760
matth l rector signature block,1,1,1725,1725,Matth: L?? Rector (signature block),pre_1760
matths hols a rro hulckins j thorne dec,1,1,1716,1716,Matths: Hols A Rro: Hulckins J. Thorne Dec.,pre_1760
may 25,1,1,1882,1882,May 25,post_1840
may 26,1,1,1882,1882,May 26,post_1840
may 4,1,1,1810,1810,May 4,industrial_1760_1840
mechell exhibition,1,1,1889,1889,Mechell Exhibition,post_1840
melton riandge,1,1,1730,1730,Melton Riandge,pre_1760
mem,1,1,1820,1820,Mem =,industrial_1760_1840
mem improved rent of lad lane late comrs now norris pickford vid di b p 450,1,1,1821,1821,"Mem. Improved Rent of Lad Lane. late Comrs.
now Norris & Pickford. vid. Di: B. p. 450.",industrial_1760_1840
mem summa in superiori computo,1,1,1733,1733,Mem. Summa in superiori computo,pre_1760
mem summa in superiori computo quampte rectori debita restat e thesauro solvendo,1,1,1734,1734,Mem: Summa in superiori computo quampte Rectori Debita restat e Thesauro solvendo.,pre_1760
mem these are in reality the proper arrearagia for the conclusion of the computations of 1000l,1,1,1807,1807,Mem: These are in reality the proper Arrearagia for the conclusion of the Computations of 1000L.,industrial_1760_1840
memt to be repaid by the present vicar h k cornish,1,1,1834,1834,Memt To be repaid by the present Vicar H.K. Cornish,industrial_1760_1840
menhemiot,1,1,1861,1861,Menhemiot.,post_1840
menkempst money rents fixed,1,1,1843,1843,Menkempst & Money-rents fixed,post_1840
merton rent due mich 1818,1,1,1818,1818,Merton Rent. Due Mich. 1818,industrial_1760_1840
merton rent due mich 1819,1,1,1818,1818,Merton Rent. Due Mich. 1819,industrial_1760_1840
merton rents por mich 1820 viz,1,1,1821,1821,Merton Rents. por Mich. 1820. viz-,industrial_1760_1840
merton viandge,1,1,1730,1730,Merton Viandge,pre_1760
merton vicaridge,1,1,1728,1728,[ Merton Vicaridge ],pre_1760
messrs biddulph cooke ridge,1,1,1806,1806,"Messrs. Biddulph, Cooke, & Ridge.",industrial_1760_1840
michell s hell s pensions,1,1,1746,1746,Michell's & Hell's Pensions,pre_1760
michells money,1,1,1751,1751,Michells Money,pre_1760
midlington candlemas augments,1,1,1766,1766,Midlington Candlemas Augments.,industrial_1760_1840
midlington vic,1,1,1766,1766,Midlington Vic:,industrial_1760_1840
minhittnett,1,1,1708,1708,Minhittnett,pre_1760
minne,1,1,1708,1708,Minne,pre_1760
misused rents payable,1,1,1816,1816,Misused Rents payable,industrial_1760_1840
mitchells hills pensions,1,1,1749,1749,Mitchells & Hills pensions.,pre_1760
mitchells pensions,1,1,1757,1757,Mitchells Pensions,pre_1760
mixd rents variable,1,1,1830,1830,Mixd. Rents Variable.,industrial_1760_1840
mixed cash money,1,1,1765,1765,(Mixed cash money),industrial_1760_1840
mixed rents payable,1,1,1849,1849,Mixed Rents Payable,post_1840
mixed rents variable cont,1,1,1820,1820,Mixed Rents Variable. cont?,industrial_1760_1840
molineux,1,1,1708,1708,molineux,pre_1760
monegreata fixed,1,1,1846,1846,Monegreata fixed,post_1840
money identified,1,1,1817,1817,Money Identified,industrial_1760_1840
money rents c,1,1,1815,1815,Money Rents &c,industrial_1760_1840
money rents filed,1,1,1831,1831,Money Rents filed,industrial_1760_1840
money rents fixed half year,1,1,1807,1807,Money Rents fixed  Half year,industrial_1760_1840
money rents luyed,1,1,1833,1833,Money Rents Luyed,industrial_1760_1840
money rents recd,1,1,1813,1813,Money Rents Recd,industrial_1760_1840
money rents reced,1,1,1834,1834,Money Rents reced.,industrial_1760_1840
morpeth,1,1,1868,1868,Morpeth,post_1840
mr chelley hills pensions,1,1,1747,1747,Mr Chelley & Hills Pensions,pre_1760
mr colman l ters bill viz,1,1,1846,1846,"Mr Colman L. Ters. bill, viz.",post_1840
mr hastings surveyor viz,1,1,1844,1844,Mr Hastings Surveyor viz,post_1840
mr jubb,1,1,1727,1727,Mr. Jubb,pre_1760
mr lay provisions at stipend merton,1,1,1854,1854,Mr. Lay. Provisions at Stipend Merton,post_1840
mr martin s tenements,1,1,1849,1849,Mr Martin's Tenements,post_1840
mr t h gardiner,1,1,1857,1857,Mr T. H. Gardiner,post_1840
n b bad arrears vide in former accounts c,1,1,1765,1765,N.B. Bad arrears vide in former accounts &c.,industrial_1760_1840
napper,1,1,1711,1711,Napper,pre_1760
nb the sum due was 3 18 0 ten shill therefore to add to ye totula next year due to ye rector,1,1,1747,1747,NB. The Sum due was 3.18.0. ten Shill. therefore. to add to ye Totula next year Due to ye Rector.,pre_1760
nb yf art pro aug red south n v metl d fgl natd have been 44 10 00 to be allowed to yr in next years salute c,1,1,1745,1745,+ NB. yf Art. pro Aug. Red. South N. v Metl. D Fgl. Natd have been 44.10.00. to be allowed to yR - in & next years salute. &c.,pre_1760
newington south,1,1,1856,1856,Newington South,post_1840
no 1 to dec r 31st 1893,1,1,1893,1893,No 1. / To Dec'r 31st 1893,post_1840
no 3 1707 arrearagia,1,1,1707,1707,No: 3. 1707. Arrearagia.,pre_1760
norton vicarage,1,1,1717,1717,Norton Vicarage,pre_1760
norwich,1,1,1876,1876,Norwich,post_1840
nos quorum nomina subscripta sunt long latin paragraph,1,1,1725,1725,Nos quorum nomina subscripta sunt ... (long Latin paragraph),pre_1760
nov,1,1,1736,1736,Nov.,pre_1760
nov 2 1747 praefatus computus examinatur,1,1,1747,1747,Nov. 2. 1747. Praefatus Computus examinatur,pre_1760
nov 2 1749 praeditus comptus examinatus,1,1,1749,1749,Nov. 2. 1749. praeditus Comptus examinatus,pre_1760
nov 2 1869,1,1,1869,1869,Nov 2. 1869,post_1840
nov 2 1870,1,1,1870,1870,Nov 2. 1870,post_1840
nov 2 1872,1,1,1872,1872,Nov 2 1872,post_1840
nov 2 1881,1,1,1881,1881,Nov. 2 1881,post_1840
nov 2 allowed ye rector for what was charged too little,1,1,1746,1746,Nov. 2. allowed ye Rector for what was charged too little,pre_1760
nov 2 examined and allowed,1,1,1880,1880,Nov 2 Examined and allowed,post_1840
nov 3 1873,1,1,1873,1873,Nov 3. 1873.,post_1840
nov 3 1879,1,1,1879,1879,Nov. 3 1879,post_1840
nov r 2 1750 pr dictus computus examinatus et approbatus per pr sentes viz,1,1,1750,1750,"Nov^r: 2. 1750. Prædictus Computus examinatus et approbatus per Præsentes, viz:",pre_1760
nov r 2 1871,1,1,1871,1871,Nov^r 2. 1871,post_1840
novemb 5th 1709 marginal note,1,1,1709,1709,Novemb. 5th 1709 (marginal note),pre_1760
november 2 1875,1,1,1878,1878,November 2 1875,post_1840
november 2 1877,1,1,1877,1877,November 2. 1877,post_1840
novembris 1703 ad eundem diem 1704,1,1,1704,1704,"Novembris 1703, ad eundem diem 1704.",pre_1760
novembris 1713 ad eundem diem revolutum 1714,1,1,1714,1714,Novembris 1713 ad eundem diem revolutum 1714,pre_1760
novembris 1715 ad eundem diem revolutum 1716,1,1,1716,1716,Novembris 1715: ad eundem diem revolutum 1716.,pre_1760
novembris 1754 ad eundem diem revolutum 1755,1,1,1755,1755,Novembris 1754. ad eundem Diem revolutum 1755.,pre_1760
novembris 1755 ad eundem diem revolutum 1756,1,1,1756,1756,Novembris 1755 ad eundem Diem revolutum 1756.,pre_1760
novembris 1763 ad eundem diem revolution 1764,1,1,1764,1764,Novembris 1763 ad eundem Diem revolution 1764.,industrial_1760_1840
novembris 1763 per praesentes viz,1,1,1763,1763,Novembris 1763. per Praesentes viz:,industrial_1760_1840
novembris 1764 ad eundem diem revolution 1765,1,1,1765,1765,Novembris 1764. ad eundem diem revolution 1765.,industrial_1760_1840
novembris 1852,1,1,1852,1852,Novembris 1852.,post_1840
novembris 1865,1,1,1865,1865,Novembris 1865,post_1840
novembris a d 1805 ad eundem diem revolutum a d 1806,1,1,1805,1805,Novembris A.D. 1805. ad eundem diem revolutum A.D. 1806. #,industrial_1760_1840
novembry 1718 ad eundem diem revolution 1719,1,1,1719,1719,Novembry 1718 ad eundem diem revolution 1719,pre_1760
novembry 1719 ad eundem diem revolutum 1720,1,1,1720,1720,Novembry 1719 ad eundem diem revolutum 1720,pre_1760
novr 22,1,1,1878,1878,Novr 22,post_1840
novr 3 1715 mem that the last sum today recorded was delivered to us said adams subr,1,1,1715,1715,Novr. 3. 1715. Mem. That the last sum today recorded was delivered to us Said Adams Subr.,pre_1760
novr 3 recepta varia,1,1,1815,1815,Novr 3 Recepta Varia,industrial_1760_1840
obita ordinaria,1,1,1846,1846,Obita Ordinaria,post_1840
object rents payable,1,1,1830,1830,Object Rents Payable,industrial_1760_1840
oct 21,1,1,1880,1880,Oct 21,post_1840
oct 25,1,1,1880,1880,Oct 25,post_1840
oct 26,1,1,1810,1810,Oct. 26,industrial_1760_1840
oct 30,1,1,1882,1882,Oct 30,post_1840
oct r 21,1,1,1763,1763,Oct^r 21.,industrial_1760_1840
octr 28 paid articles of soluta ordinaria belonging to s d,1,1,1763,1763,Octr 28. Paid articles of Soluta Ordinaria belonging to £ s. d.,industrial_1760_1840
octv,1,1,1736,1736,Octv.,pre_1760
of edwards jackson browning,1,1,1884,1884,"(of Edwards, Jackson & Browning)",post_1840
of proceeding m rs for act supper,1,1,1708,1708,Of proceeding m^rs for Act Supper,pre_1760
of the accounts for that year,1,1,1892,1892,of the Accounts for that year.,post_1840
of the financial condition of the college,1,1,1900,1900,of the financial condition of the College.,post_1840
officiariis,1,1,1834,1834,Officiariis. -,industrial_1760_1840
officiis,1,1,1766,1766,& Officiis.,industrial_1760_1840
omitted in its proper place see above,1,1,1851,1851,(omitted in its proper place. See above),post_1840
on a review of chacehill arr by y rector c there appeared to have been a mistake of five shillings v one penny charged too much arrears tho have been only 24 18 03 which said sum is accounted for as recd in y next acc allowed to be in full,1,1,1745,1745,+ On a Review of ChaceHill Arr. by y Rector &c there appeared to have been a Mistake of five Shillings v one penny charged too much & Arrears tho have been only £24.18.03¾ which said sum is accounted for as Recd in y next Acc. & allowed to be in full.,pre_1760
on the college dividends,1,1,1804,1804,on the College Dividends.,industrial_1760_1840
open sch candidates for board,1,1,1851,1851,Open Sch. Candidates for Board,post_1840
open scholarships to middx 1838 viz,1,1,1838,1838,Open Scholarships to Middx 1838. Viz:,industrial_1760_1840
open scholarships to mids 1837,1,1,1837,1837,Open Scholarships to Mids. 1837,industrial_1760_1840
open scholarships vig,1,1,1855,1855,Open Scholarships vig:,post_1840
other rents variable,1,1,1813,1813,Other Rents Variable,industrial_1760_1840
other sources,1,1,1898,1898,Other Sources:,post_1840
out in repayment of money advanced for alter,1,1,1853,1853,out in repayment of Money advanced for alter-,post_1840
overdoun morshead a m,1,1,1749,1749,Overdoun Morshead A.M.,pre_1760
p boyce ye tax,1,1,1723,1723,P. Boyce ye Tax,pre_1760
p f willis fellow,1,1,1876,1876,P. F. Willis Fellow,post_1840
p fowler fellow,1,1,1879,1879,P. Fowler. Fellow.,post_1840
p newton,1,1,1859,1859,P. Newton,post_1840
paid by bankers before it was stopped,1,1,1805,1805,"paid by Bankers, before it was stopped",industrial_1760_1840
part thrup biddenham,1,1,1717,1717,part & Thrup & Biddenham,pre_1760
paupertbus,1,1,1735,1735,Paupertbus,pre_1760
pd jersy fines,1,1,1710,1710,Pd Jersy Fines,pre_1760
penny spowling,1,1,1879,1879,Penny Spowling,post_1840
pensiones g hill,1,1,1738,1738,Pensiones G. Hill.,pre_1760
per crossed out nos probat et approbatum per nos,1,1,1700,1700,per [crossed out: nos probat'] et Approbatum per Nos.,pre_1760
per nos j cole rectorem,1,1,1808,1808,per nos — J. Cole Rectorem,industrial_1760_1840
percentages less overpaid,1,1,1877,1877,Percentages less overpaid,post_1840
petition disqualification woolston x days day 1854,1,1,1854,1854,"Petition Disqualification Woolston X days, Day 1854",post_1840
poor,1,1,1856,1856,Poor,post_1840
poor rates to st mich parish viz,1,1,1821,1821,Poor Rates to St. Mich. Parish. viz.,industrial_1760_1840
predeemed land tax,1,1,1820,1820,Predeemed Land Tax.,industrial_1760_1840
prethowin,1,1,1723,1723,Prethowin.,pre_1760
prijs of ground in coll front,1,1,1850,1850,Prijs of Ground in Coll. front,post_1840
prior,1,1,1861,1861,Prior,post_1840
prisners,1,1,1708,1708,Prisners,pre_1760
prisoners castle,1,1,1727,1727,Prisoners { Castle,pre_1760
pro 2do die novembris 1766,1,1,1766,1766,Pro 2do Die Novembris 1766.,industrial_1760_1840
pro dir et forij,1,1,1728,1728,pro Dir: et forij,pre_1760
pro dni et locys,1,1,1724,1724,Pro Dni Et Locys,pre_1760
pro hoc anno viz secundo die novembris,1,1,1822,1822,"pro hoc anno, viz: secundo die Novembris.",industrial_1760_1840
pro r m et socys,1,1,1707,1707,Pro R M et Socys,pre_1760
pro rector scholaribus officiariis,1,1,1750,1750,"Pro Rector, Scholaribus, & Officiariis.",pre_1760
pro rector scholarium et officiariis,1,1,1827,1827,"Pro Rector, Scholarium, et Officiariis:",industrial_1760_1840
pro rectori scholaribus officiarij,1,1,1748,1748,Pro Rectori Scholaribus & Officiarij,pre_1760
pro rectori scholariis et officiaris,1,1,1753,1753,Pro Rectori Scholariis et Officiaris.,pre_1760
pro rent et servis,1,1,1731,1731,Pro Rent. et Servis,pre_1760
pro the win,1,1,1724,1724,Pro the win.,pre_1760
prop tax,1,1,1860,1860,Prop Tax,post_1840
property lately purchased of st helen viz,1,1,1847,1847,property lately purchased of St. Helen. Viz,post_1840
property tax,1,1,1815,1815,Property Tax,industrial_1760_1840
property tax on coll dividends,1,1,1805,1805,Property Tax on Coll. Dividends,industrial_1760_1840
property tax on rents paid in part to domus,1,1,1843,1843,Property Tax on Rents paid in part to Domus,post_1840
property tax on rents the whole of which are pd to domus,1,1,1843,1843,Property Tax on Rents the Whole of which are pd to Domus,post_1840
property tax paid by bankers,1,1,1804,1804,Property Tax paid by Bankers,industrial_1760_1840
prynes,1,1,1705,1705,Prynes,pre_1760
purdue assessors income tax viz,1,1,1843,1843,Purdue Assessors Income tax viz,post_1840
que suma seposita erat in cista,1,1,1708,1708,Que Suma seposita erat in Cista,pre_1760
quit rents of little few arr,1,1,1742,1742,Quit Rents of Little Few & Arr.,pre_1760
quit rents of little town,1,1,1743,1743,Quit Rents of Little Town,pre_1760
r bryant a m,1,1,1742,1742,R. Bryant A.M.,pre_1760
r johnson subrectorem,1,1,1820,1820,R. Johnson Subrectorem,industrial_1760_1840
r morton burs,1,1,1828,1828,R. Morton Burs.,industrial_1760_1840
rd land tax,1,1,1854,1854,Rd Land Tax,post_1840
rec an praefensis,1,1,1724,1724,Rec: An praefensis,pre_1760
rec an precepts,1,1,1728,1728,Rec: An Precepts,pre_1760
rec ani presents,1,1,1727,1727,Rec: Ani: Presents,pre_1760
rec ann pr posit,1,1,1726,1726,Rec. Ann: Præposit.,pre_1760
rec ann property,1,1,1725,1725,Rec. Ann. Property,pre_1760
rec anni praepositis,1,1,1723,1723,Rec: Anni praepositis,pre_1760
rec d by bankers in london,1,1,1805,1805,rec'd by Bankers in London,industrial_1760_1840
recd increments,1,1,1707,1707,Recd Increments,pre_1760
recd rents payable,1,1,1834,1834,Recd Rents Payable,industrial_1760_1840
receffa durocopia,1,1,1852,1852,Receffa Durocopia,post_1840
receipta ann praesentis,1,1,1811,1811,Receipta Annī praesentis.,industrial_1760_1840
receipta anni presentis,1,1,1731,1731,Receipta Anni presentis,pre_1760
receipta anniproventis,1,1,1802,1802,Receipta anniproventis,industrial_1760_1840
receipts and payments to dec 31 1891,1,1,1891,1891,"Receipts and Payments to Dec. 31, 1891.",post_1840
receipts anni praesentis,1,1,1808,1808,Receipts Anni Praesentis,industrial_1760_1840
receipts anno presentis,1,1,1744,1744,Receipts Anno presentis.,pre_1760
receipts by mess rs biddulph,1,1,1800,1800,Receipts by Mess.rs Biddulph,industrial_1760_1840
receipts by messrs biddulph cock ridge bankers london,1,1,1802,1802,"Receipts by Messrs. Biddulph Cock, & Ridge, Bankers, London",industrial_1760_1840
receipts general acct,1,1,1900,1900,Receipts General Acct.,post_1840
receipts since that time,1,1,1803,1803,Receipts since that time,industrial_1760_1840
receipts to be paid over to the bursar,1,1,1882,1882,Receipts. to be paid over to the Bursar,post_1840
received by bankers mess rs biddulph cocks co,1,1,1809,1809,"Received by Bankers, Mess^rs Biddulph Cocks & Co",industrial_1760_1840
received by bankers messrs,1,1,1810,1810,Received by Bankers Messrs,industrial_1760_1840
received by bankers messrs biddulph cocks co,1,1,1811,1811,"Received by Bankers Messrs Biddulph, Cocks & Co",industrial_1760_1840
received of barkers l,1,1,1815,1815,Received of Barkers L,industrial_1760_1840
recep ta varia,1,1,1801,1801,Recep ta varia,industrial_1760_1840
recepcheck crossed out,1,1,1713,1713,Recepcheck ... (crossed out),pre_1760
recept ann present,1,1,1740,1740,Recept. Ann. present.,pre_1760
recept hutchins,1,1,1717,1717,Recept. Hutchins,pre_1760
recepta alia,1,1,1752,1752,Recepta alia,pre_1760
recepta anne preeptis,1,1,1718,1718,Recepta Anne Preeptis,pre_1760
recepta anne presentis,1,1,1752,1752,Recepta anne presentis.,pre_1760
recepta anni 1756 nov r ad annum 1757,1,1,1757,1757,Recepta anni 1756 Nov'r. ad annum 1757,pre_1760
recepta anni 1757 nov 2 do ad annum 1758 ad eundem diem,1,1,1758,1758,Recepta Anni 1757 Nov. 2.do ad Annum 1758 ad eundem Diem,pre_1760
recepta anni instantij scilicet a 2do novij 1760,1,1,1761,1761,Recepta anni Instantij scilicet a 2do Novij 1760,industrial_1760_1840
recepta anni instantis sc a 2do nov 1761 ad 2do nov 1762,1,1,1762,1762,Recepta anni Instantis sc: a 2do Nov: 1761. ad 2do Nov: 1762.,industrial_1760_1840
recepta anni praefnty,1,1,1713,1713,Recepta Anni Praefnty,pre_1760
recepta anni praesentis 1825,1,1,1825,1825,Recepta Anni praesentis. 1825,industrial_1760_1840
recepta anni praesentis 1828,1,1,1828,1828,Recepta Anni praesentis. 1828.,industrial_1760_1840
recepta anni presentis mich 1824,1,1,1824,1824,Recepta Anni presentis. Mich. 1824.,industrial_1760_1840
recepta anni properli,1,1,1757,1757,Recepta anni Properli,pre_1760
recepta anni propertij,1,1,1754,1754,Recepta anni propertij,pre_1760
recepta anni proprietatis,1,1,1764,1764,Recepta anni proprietatis.,industrial_1760_1840
recepta anni proprietij 1754 5,1,1,1755,1755,Recepta anni Proprietij - 1754-5.,pre_1760
recepta anni proprietis 1755 6,1,1,1756,1756,Recepta anni Proprietis 1755-6,pre_1760
recepta anni propriti,1,1,1761,1761,Recepta anni Propriti.,industrial_1760_1840
recepta annis presenty,1,1,1720,1720,Recepta Annis presenty,pre_1760
recepta annis propertis,1,1,1762,1762,Recepta annis Propertis.,industrial_1760_1840
recepta cum praesentes,1,1,1750,1750,Recepta cum Praesentes.,pre_1760
recepta pro hoc anno ad 2,1,1,1806,1806,Recepta pro hoc Anno ad 2.,industrial_1760_1840
recepta pro hoc anno ad 2dum diem novembris a d 1801,1,1,1800,1800,Recepta pro hoc Anno ad 2dum diem Novembris A.D. 1801,industrial_1760_1840
recepta pro hoc anno ad 2dum diem novembris a d 1802,1,1,1801,1801,Recepta pro hoc Anno ad 2dum diem Novembris A.D. 1802,industrial_1760_1840
recepta pro hoc anno ad 2dum diem novembris a d 1803,1,1,1803,1803,Recepta pro hoc Anno ad 2dum diem Novembris A.D. 1803.+,industrial_1760_1840
recepta pro hoc anno ad 2dum diem novembris a d 1804,1,1,1804,1804,Recepta pro hoc Anno ad 2dum diem Novembris A.D. 1804,industrial_1760_1840
recepta pro hoc anno ad 2dum diem novembris a d 1805,1,1,1805,1805,Recepta pro hoc Anno ad 2dum diem Novembris A.D. 1805.,industrial_1760_1840
recepta pro hoc anno ad 2dum diem novembris a d 1819,1,1,1819,1819,Recepta pro hoc Anno ad 2dum Diem Novembris. A.D. 1819.,industrial_1760_1840
recepta varia 1828,1,1,1828,1828,Recepta Varia. 1828.,industrial_1760_1840
recepta varia bro over,1,1,1823,1823,Recepta Varia . . . . Bro! over,industrial_1760_1840
recepta varia l s d,1,1,1754,1754,Recepta Varia L. S: D:,pre_1760
recepta varia mich 1854,1,1,1854,1854,Recepta Varia & Mich' 1854,post_1840
receptae varia,1,1,1818,1818,Receptae Varia.,industrial_1760_1840
recepte anno presenti,1,1,1720,1720,Recepte Anno Presenti,pre_1760
recepte varia,1,1,1753,1753,Recepte Varia,pre_1760
receptra anni p genty,1,1,1710,1710,Receptra Anni p'Genty,pre_1760
receptras,1,1,1753,1753,Receptras,pre_1760
recipta anni pr sentis,1,1,1712,1712,Recipta Anni Præsentis,pre_1760
recipta anni profenty,1,1,1716,1716,Recipta Anni Profenty,pre_1760
rectori scholantibus et officiaris,1,1,1801,1801,"Rectori, Scholantibus et Officiaris",industrial_1760_1840
rectoris 2do die novembris a d 1810 ad eundem,1,1,1810,1810,Rectoris 2do Die Novembris A.D. 1810 ad eundem,industrial_1760_1840
rectoris a 2do die novembris 1814 ad eundem,1,1,1814,1814,Rectoris a 2do die Novembris 1814 ad eundem,industrial_1760_1840
rectory a 2o die,1,1,1764,1764,Rectory a 2o die,industrial_1760_1840
redd cottages,1,1,1873,1873,Redd Cottages,post_1840
redeemd land tax,1,1,1828,1828,Redeemd Land Tax.,industrial_1760_1840
redeemed land,1,1,1830,1830,Redeemed Land &,industrial_1760_1840
redeemed land int,1,1,1835,1835,Redeemed Land Int.,industrial_1760_1840
redeemed land tax viz,1,1,1821,1821,Redeemed Land Tax. viz.,industrial_1760_1840
redeemed land taxe viz,1,1,1821,1821,Redeemed Land Taxe viz:,industrial_1760_1840
redeemed lands tax,1,1,1829,1829,Redeemed Lands Tax,industrial_1760_1840
reed for genl comoners of,1,1,1700,1700,Reed for Genl. Comoners of,pre_1760
reed of mr verman for batts due to ye coll,1,1,1701,1701,Reed of mr Verman for Batts due to ye coll.,pre_1760
relief supere,1,1,1870,1870,Relief Supere.,post_1840
rent of houses in queen st carried,1,1,1853,1853,Rent of Houses in Queen St. carried,post_1840
rent of houses in queen st carried to this account in repayment of money advanced for alterations viz,1,1,1852,1852,Rent of Houses in Queen St. carried to this account in repayment of money advanced for alterations Viz.,post_1840
rents variable,1,1,1835,1835,Rents Variable,industrial_1760_1840
repairs viz,1,1,1835,1835,Repairs Viz.,industrial_1760_1840
repayment to self,1,1,1870,1870,Repayment to self.,post_1840
resolutum a d 1818,1,1,1817,1817,resolutum A.D. 1818 —,industrial_1760_1840
restant solvenda computanto,1,1,1758,1758,Restant Solvenda Computanto.,pre_1760
revolution 1746,1,1,1746,1746,Revolution 1746.,pre_1760
revolutum 1741,1,1,1741,1741,Revolutum 1741.,pre_1760
revolutum 1745,1,1,1745,1745,revolutum 1745.,pre_1760
revolutum 1752,1,1,1752,1752,revolutum 1752.,pre_1760
revolutum nov 2 di,1,1,1758,1758,revolutum Nov. 2.di,pre_1760
ric hodgsin,1,1,1715,1715,Ric Hodgsin,pre_1760
ric hurland or hurle,1,1,1709,1709,Ric. Hurland (or Hurle??),pre_1760
ric hurshins,1,1,1710,1710,Ric: Hurshins,pre_1760
ric newbing,1,1,1704,1704,Ric: Newbing ?,pre_1760
ricd hutchins,1,1,1705,1705,Ricd. Hutchins,pre_1760
richards exhibition,1,1,1883,1883,Richards Exhibition,post_1840
rii hutchins,1,1,1703,1703,Rii: Hutchins,pre_1760
ris hutchens,1,1,1706,1706,Ris. Hutchens,pre_1760
rised rents payable,1,1,1835,1835,Rised Rents Payable,industrial_1760_1840
rised rents variable,1,1,1852,1852,Rised Rents Variable.,post_1840
rivitab oxon,1,1,1817,1817,Rivitab. Oxon,industrial_1760_1840
rob rous,1,1,1706,1706,Rob: Rous.,pre_1760
rob rous pub,1,1,1710,1710,Rob: Rous pub???,pre_1760
rob scott sac thed pree,1,1,1736,1736,Rob. Scott Sac: Thed. Pree.,pre_1760
robert wm jeffs spranger m a,1,1,1840,1840,Robert Wm Jeffs Spranger M.A.,industrial_1760_1840
robertus scott g m,1,1,1737,1737,Robertus Scott G.M.,pre_1760
robertus scott s t b,1,1,1740,1740,Robertus Scott S.T.B.,pre_1760
robt scott a m,1,1,1735,1735,Robt. Scott A.M.,pre_1760
robthum j sutton socium,1,1,1848,1848,Robthum J. Sutton Socium,post_1840
roc hutchins,1,1,1707,1707,Roc: Hutchins,pre_1760
rued rents payable,1,1,1837,1837,Rued. Rents Payable.,industrial_1760_1840
ruped rents fariable,1,1,1837,1837,Ruped Rents Fariable.,industrial_1760_1840
s hammond maser,1,1,1869,1869,(S) Hammond Maser,post_1840
s hart burs juniorum,1,1,1801,1801,"S. Hart, Burs. Juniorum",industrial_1760_1840
s l keyes burs jun,1,1,1810,1810,S. L. Keyes Burs: Jun:,industrial_1760_1840
s newton cottages,1,1,1873,1873,S.Newton Cottages,post_1840
salubee ordinaria,1,1,1733,1733,Salubee Ordinaria,pre_1760
saluta varia,1,1,1735,1735,Saluta Varia.,pre_1760
sam hart burs sen,1,1,1800,1800,"Sam: Hart, Burs. Sen:",industrial_1760_1840
sam oldams,1,1,1713,1713,Sam: Oldams.,pre_1760
sar oxon pre,1,1,1706,1706,Sar: Oxon. Pre.,pre_1760
schol can 1me regis,1,1,1811,1811,Schol. Can: 1me Regis,industrial_1760_1840
schol fax 1st regius,1,1,1812,1812,Schol: Fax: 1st Regius,industrial_1760_1840
schol regis car 1 mi,1,1,1837,1837,Schol. Regis Car. 1 mi,industrial_1760_1840
schol regis car 1mi,1,1,1825,1825,Schol: Regis Car: 1mi,industrial_1760_1840
schol regis car pro,1,1,1833,1833,Schol: Regis Car: pro,industrial_1760_1840
schol regis corr 1 mi,1,1,1836,1836,Schol: Regis Corr: 1:mi.,industrial_1760_1840
schola dno rectoris scholaribus et officiariis,1,1,1851,1851,Schola Dno Rectoris Scholaribus et Officiariis,post_1840
schola faria,1,1,1838,1838,Schola Faria.,industrial_1760_1840
